SUM of OBS_VALUE,TIME_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Island Countries and territories,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
American Samoa,0,0,0,0.1,0,-0.2,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2
Cook Islands,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2
Fiji,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.4
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
Guam,0,0,-0.1,0,-0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,-0.1,0,0.1,0,0,0.1,0.2,0.1,0.1,1.4
Kiribati,0,0,0,0,0,-0.1,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3
Marshall Islands,0,0,0,0,-0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,1.2
"Micronesia, Federated State of",-0.1,0,0,0,-0.1,0,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.6
Nauru,0,0,0,0,0,-0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
New Caledonia,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.7
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
Palau,-0.1,-0.1,0,0,-0.1,0,0.1,0.1,0.1,-0.1,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0,-0.1,0,0.1,0,0,0.1,0.2,0.2,0.1,1.2
Papua New Guinea,-0.1,0,0,0,0,-0.1,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.3
Samoa,0,0,0,0.1,0,-0.2,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,1.4
Solomon Islands,-0.1,0,0,0.1,0,-0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,1.7
Tokelau,0,0,0.1,0,0,-0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
Tonga,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.7
Tuvalu,0,0,0,0,0,-0.2,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5
Vanuatu,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.4
Wallis and Futuna,0,0,0,0.1,0,-0.2,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,1.4
Grand Total,-0.4,-0.1,0,0.4,-0.4,-1.3,0.3,0.7,0.5,0.3,0.2,0.6,0.6,0.9,1.3,1.7,1.2,0.5,1.6,1.4,1.4,1.1,0.6,0.7,2.1,1.8,1.9,2.1,2.6,2.8,2.2,29.3
