SUM of OBS_VALUE,TIME_PERIOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Island Countries and territories,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Grand Total
American Samoa,0.1,-0.3,0,0.3,0.1,-0.2,-0.2,-0.5,-0.2,0.1,-0.3,-0.6,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.4,-0.1,-0.1,-0.5,-0.1,-0.2,-0.2,-0.2,-0.2,-0.4,-0.3,0.1,0,-0.4,-0.4,-0.5,-0.4,-0.4,-0.1,-0.2,-0.5,-0.4,-0.3,-0.7,-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,0.2,0.1,-0.4,-0.2,-0.6,-0.4,-0.3,-0.4,-0.5,-0.8,-0.9,-0.6,-0.3,-0.5,-0.3,-0.2,-0.5,-1.1,-0.6,-0.8,-0.5,-0.5,-0.2,-0.4,-0.2,-0.3,-0.2,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.6,-0.4,-0.4,-0.3,-0.3,-0.4,-0.6,0,0.1,0,-0.1,0.1,0.1,0.2,0.1,-0.2,-0.2,-0.4,-0.1,0,0.1,-0.1,-0.4,-0.4,-0.2,0,0.1,-0.1,0,-0.1,0,-0.2,-0.3,0.1,-0.3,-0.1,0.3,0,-0.3,-0.2,0,-0.4,-0.4,-0.4,0,0,0,0.2,-0.1,0,-0.2,0,-0.2,0,0,0.1,-0.2,0.1,0.4,0.2,0.1,0.3,0.3,0.1,-0.1,-0.2,0,0.2,0.2,0.4,0.5,0.5,0.6,0.5,0.5,0,0.4,0.4,0,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.6,0.3,0.2,0.6,0.8,0.5,-19.6
Cook Islands,-0.2,-0.3,-0.1,0.4,0.3,-0.2,-0.2,-0.6,-0.1,0.2,-0.1,-0.5,-0.4,-0.5,-0.2,-0.2,-0.2,-0.3,-0.1,-0.2,-0.3,0.1,0,-0.4,-0.1,-0.1,0,0,-0.1,-0.2,-0.2,0,0,-0.4,-0.6,-0.6,-0.6,-0.5,-0.3,0,-0.6,-0.4,-0.2,-0.6,-0.2,-0.1,-0.3,-0.1,-0.1,0,0.1,0.6,-0.2,0,-0.6,-0.4,0,-0.4,-0.4,-0.8,-0.7,-0.6,-0.3,-0.4,-0.3,0,-0.1,-0.8,-0.4,-0.6,-0.2,-0.4,-0.1,-0.4,-0.2,-0.4,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.1,-0.6,-0.4,-0.4,-0.4,-0.3,-0.5,-0.5,0,0.1,0.2,0.1,0.3,0.2,0.2,0.1,-0.2,0,-0.2,0,0.3,0.2,0,-0.3,-0.4,-0.1,0,0.1,0,0,-0.3,0,-0.1,-0.2,0,-0.2,-0.1,0.2,0.1,-0.3,-0.1,0.3,-0.3,-0.4,-0.4,-0.1,-0.2,-0.3,0,-0.2,0,-0.3,-0.1,-0.3,-0.2,0,0.2,-0.1,-0.1,0.3,0.3,0.1,0.2,0.2,0.1,0,0,0.2,0.2,0.2,0.4,0.5,0.6,0.5,0.5,0.5,0.2,0.5,0.6,0.1,0.3,0.4,0.5,0.4,0.6,0.6,0.4,0.6,0.6,0.5,0.2,0.5,0.6,0.5,-13
Fiji,-0.1,-0.2,-0.2,-0.1,-0.4,-0.4,-0.5,0.1,-0.2,0,0,-0.1,-0.1,0,0,-0.1,0,0.1,0,0,0.1,0.1,0.2,0.1,0.1,0,-0.1,-0.5,-0.3,0.2,0,-0.1,0,-0.5,-0.8,-1.1,-0.7,-0.5,-0.8,-0.4,-0.3,-0.3,-0.4,0,-0.5,-0.4,-0.5,-0.5,-0.1,-0.2,-0.7,-0.4,-1,-0.8,-0.6,-1.1,-0.6,-0.6,-0.5,-0.5,-0.3,-0.5,-0.7,-0.8,-0.8,-0.5,0,-0.1,-0.5,-0.9,-0.5,-0.6,-0.2,-0.5,-0.1,-0.4,-0.7,-0.2,-0.5,-0.5,-0.8,-0.7,-0.4,-0.4,-0.5,-0.3,-0.3,-0.2,-0.2,-0.5,-0.7,-0.6,-0.3,0.3,0.1,0,-0.3,-0.1,-0.2,-0.1,0,-0.1,0,-0.1,-0.2,-0.1,0.2,-0.3,-0.4,-0.3,-0.1,0,-0.1,-0.2,-0.1,-0.6,-0.4,-0.2,-0.1,-0.3,0.1,0.1,-0.2,0.2,0.3,0.2,0,-0.4,-0.3,-0.1,-0.1,-0.1,-0.3,-0.4,0.2,0,-0.4,-0.4,0.3,0.2,0.1,-0.1,-0.2,-0.5,-0.4,0.2,0.3,-0.2,0,0.4,0.5,0.4,0.3,0.2,0.2,0.3,0.2,0.4,0.6,0.1,0.4,0.6,0.4,0.6,0.4,-0.2,0.4,0.5,0.5,0.4,0.6,0.7,1.1,0.6,0.6,0.7,-26.1
French Polynesia,-0.6,-0.3,-0.4,0,0.1,-0.2,-0.3,-0.7,0,0,-0.3,-0.7,-0.8,-0.6,-0.4,-0.4,-0.4,-0.5,-0.4,-0.6,-0.6,-0.4,-0.5,-1.1,-0.9,-0.8,-0.7,0,-0.1,-0.6,-0.4,-0.1,-0.2,-0.5,-0.5,-0.5,-0.8,-0.6,0.1,0.1,-1.3,-0.7,-0.5,-1.1,-0.4,-0.3,0.2,0.4,-0.2,0,0.6,0.5,0.4,0,-0.7,0,0.1,-0.4,-0.3,-1.1,-1.1,-0.7,-0.3,-0.3,-0.3,0.1,-0.4,-1.2,-0.5,-0.2,0,-0.6,-0.4,-0.5,-0.5,-0.5,0,-0.3,-0.3,-0.3,-0.1,0.1,0,-0.5,-0.5,-0.5,-0.6,-0.4,-0.7,-0.7,0.3,0.2,-0.1,-0.2,0.2,0.2,-0.2,-0.1,0,0.2,-0.6,-0.2,0.2,0.2,-0.2,-0.8,-0.8,0,0.1,0,0,-0.2,-0.4,-0.1,-0.3,-0.1,0,-0.5,-0.5,0.2,-0.2,-0.8,-0.2,0.1,-0.9,-0.8,-0.7,0.1,-0.2,-0.2,0,-0.4,0.2,0,0.1,-0.2,-0.1,0.4,0.1,-0.3,-0.1,0.4,0.3,0.2,0.4,0.2,-0.1,0.1,0.3,0.1,0,0.2,0.4,0.5,0.4,0.4,0.4,0.4,-0.1,0.4,0.3,-0.5,0.4,0.3,0.2,0.4,0.9,0.6,0.2,0.6,0.5,0.1,-0.3,0.5,0.7,0.5,-30.9
Guam,-0.2,0.1,0,-0.2,-0.2,-0.6,-0.3,-0.1,-0.6,0,-0.4,-0.7,-0.6,-0.3,-0.2,-0.1,0,-0.2,-0.2,0.1,0.1,-0.1,0,0.1,-0.1,-0.2,0.1,-0.1,0.2,-0.1,-0.5,-0.1,-0.2,-0.5,-0.7,-0.7,-0.4,0,-0.2,0,0,0.3,0.2,0,-0.1,0,-0.1,0.3,0,-0.4,-0.1,-0.1,-0.4,-0.7,-0.6,-0.7,-0.5,-0.4,-0.3,-0.4,-0.2,-0.6,-0.7,-0.7,-0.7,-0.5,-0.4,-0.4,-0.8,-0.9,-0.8,-0.1,-0.2,-0.6,-0.4,-0.2,-0.3,-0.1,-0.4,-0.4,-0.6,-0.3,-0.5,-0.4,-0.3,-0.4,-0.4,-0.3,-0.2,-0.2,-0.4,-0.4,-0.4,0.2,0.2,0.3,0.2,0,-0.2,-0.2,-0.1,-0.1,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.5,-0.3,-0.1,-0.2,-0.2,-0.2,-0.1,-0.4,-0.3,-0.3,-0.2,-0.1,0,0,-0.6,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,0.1,-0.1,-0.2,0.2,0,0,-0.1,0.3,0.2,-0.1,-0.2,-0.4,-0.3,0,0.2,0.4,0,0.2,0.4,0.4,0.5,0.3,0.3,0.1,0.2,0.1,0.4,0.5,0.4,0.3,0.5,0.4,0.5,0.5,0.2,0.4,0.8,0.6,0.6,0.7,0.8,0.7,0.7,0.6,0.9,-19.3
Kiribati,0.1,-0.5,-0.1,0,0,0.2,-0.4,-0.6,-0.1,0.2,-0.4,-0.5,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-1,-0.3,-0.5,-0.6,-0.5,-0.4,-0.4,0.2,-0.2,-0.9,-0.4,0.1,0.3,0,0.1,0,-0.7,-1,0.2,-0.5,-0.8,-0.2,-0.5,-0.6,-0.5,-0.2,0,-0.2,-0.7,-0.2,0.4,-0.1,0.1,-0.1,-0.6,0.2,-0.5,-0.3,-0.9,-1,-1.4,-0.6,-0.1,-0.4,0.2,-0.2,-1.5,-2.3,-0.3,-0.7,-0.3,-0.7,-0.6,-0.3,-0.6,-0.6,-0.2,-0.8,-0.4,-0.3,0.1,-0.2,-0.5,-1.1,-0.9,-0.5,-0.4,-0.5,-1.1,-0.6,0.4,0.7,-0.1,-0.7,-0.1,-0.5,0,0,-0.6,-0.8,-1.1,-0.1,-0.2,0,-0.6,-1,-0.8,-0.1,0.4,-0.1,-0.4,-0.4,-0.5,-0.2,-0.8,-0.1,0.3,-0.2,-0.1,0.6,-0.3,-1,0.2,-0.5,-0.9,-1.2,-0.5,0.2,0,0.2,0.4,-0.1,0.5,0,-0.5,-0.4,0.2,0.6,-0.4,-0.6,0.5,0.7,0.5,0.4,0.6,0.4,-0.1,0.6,-0.3,-0.9,-0.7,0,0.7,0.6,0.7,0.5,0.4,0.1,-0.8,0.4,-0.2,-0.6,0,0.1,0.7,1.2,0.7,0.3,0.6,0.9,0.3,-0.2,-0.6,0.7,0.9,0,-38.2
Marshall Islands,-0.1,-0.4,0,-0.1,-0.1,-0.1,-0.3,-0.1,-0.3,0.1,-0.2,-0.4,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.1,-0.7,-0.4,-0.5,-0.5,-0.3,-0.6,-0.6,-0.4,-0.5,-0.6,-0.5,-0.1,0.1,-0.1,-0.2,-0.4,-0.4,-0.5,-0.4,-0.6,-0.4,-0.1,-0.3,-0.2,-0.2,-0.2,-0.4,-0.3,-0.5,-0.3,-0.2,-0.1,-0.5,-0.3,-0.4,-0.4,-0.5,-0.2,-0.7,-0.6,-0.8,-0.6,-0.6,-0.7,-0.5,-0.6,-1.1,-1.4,-0.5,-0.9,-0.5,-0.4,-0.4,-0.3,-0.3,-0.5,-0.3,-0.5,-0.3,-0.2,-0.3,-0.4,-0.5,-0.7,-0.5,-0.3,-0.3,-0.4,-0.5,-0.3,0,0.1,-0.1,0,0.1,0,0.2,0.1,-0.4,-0.6,-0.4,-0.1,-0.3,-0.2,-0.3,-0.4,-0.1,-0.1,0.1,0,-0.1,-0.1,0.1,0.2,-0.2,-0.1,0.2,0.1,0.2,0.2,-0.2,-0.5,-0.2,-0.3,-0.3,-0.7,-0.3,-0.1,0,0.1,0.2,0.1,0.1,-0.2,-0.1,0,0.2,0,0,-0.1,0.4,0.3,0.1,0,0.2,0.3,0.3,0.3,-0.3,-0.3,-0.1,0.2,0.4,0.5,0.6,0.5,0.4,0.3,-0.2,0.4,0,0.2,0.2,0.4,0.7,0.7,0.5,0.6,0.7,0.7,0.5,0.3,0.2,0.6,0.8,0.4,-25.7
"Micronesia, Federated State of",0,0.1,0,-0.1,-0.2,-0.4,-0.2,0,-0.5,0.1,-0.3,-0.8,-0.5,-0.2,-0.1,0,0,-0.2,-0.2,0.2,0,-0.2,-0.1,0,-0.1,-0.3,-0.1,-0.2,0,-0.2,-0.4,-0.1,0,-0.4,-0.7,-0.5,-0.3,0.1,-0.1,0,0.1,0.4,0.2,0.1,0,0.1,-0.1,0.3,-0.1,-0.3,0,-0.1,-0.4,-0.5,-0.6,-0.7,-0.5,-0.4,-0.4,-0.4,-0.4,-0.7,-0.7,-0.7,-0.6,-0.4,-0.3,-0.6,-0.8,-0.9,-0.7,-0.1,-0.2,-0.4,-0.3,-0.2,-0.3,-0.2,-0.3,-0.4,-0.5,-0.3,-0.4,-0.4,-0.3,-0.4,-0.4,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,0.3,0.2,0.3,0.2,-0.1,-0.2,-0.4,-0.1,-0.2,-0.3,-0.2,-0.2,-0.4,-0.2,-0.2,-0.4,-0.3,-0.1,-0.2,-0.1,0,0,-0.4,-0.3,-0.2,-0.1,-0.1,0,-0.1,-0.5,-0.2,-0.2,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,0.1,-0.1,-0.2,0.1,0,0,-0.1,0.2,0.1,0,-0.2,-0.3,-0.4,0,0.3,0.4,0,0.2,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.4,0.5,0.6,0.3,0.6,0.8,0.6,0.5,0.8,0.8,0.7,0.7,0.8,0.9,-16.6
Naoero,0.3,-0.2,0.2,0.2,0.3,0.2,-0.1,-0.2,0,0.4,-0.1,-0.4,-0.1,-0.1,0,0,0,-0.2,-0.1,-0.1,-0.7,-0.2,-0.2,-0.5,-0.1,-0.2,-0.3,-0.4,-0.4,-0.7,-0.4,0.2,0.5,-0.1,0,-0.3,-0.4,-0.5,0,-0.5,-0.3,0,0.1,-0.2,-0.1,-0.1,-0.2,-0.1,-0.4,-0.1,0.3,0.1,-0.4,-0.2,-0.5,-0.3,-0.6,-0.3,-0.8,-0.8,-1.3,-0.7,-0.4,-0.5,-0.2,-0.5,-1.3,-2,-0.6,-1.1,-0.4,-0.5,-0.4,-0.2,-0.4,-0.7,-0.4,-0.8,-0.3,-0.2,-0.2,-0.2,-0.3,-0.9,-0.9,-0.4,-0.4,-0.5,-0.7,-0.4,0,0.2,0,-0.3,0.1,-0.2,0.1,-0.1,-0.8,-0.9,-0.9,-0.3,-0.4,-0.4,-0.6,-0.9,-0.6,-0.6,0,-0.2,-0.4,-0.5,-0.4,-0.3,-0.9,-0.6,0,-0.3,-0.2,0.5,-0.3,-0.8,-0.2,-0.4,-0.7,-1,-0.4,0.1,0.1,0.2,0.4,0,0.3,-0.2,-0.3,-0.3,0.2,0.1,-0.1,-0.3,0.4,0.5,0.1,0.1,0.3,0.4,0.1,0.2,-0.4,-0.6,-0.4,0.2,0.6,0.8,0.7,0.7,0.5,0.4,-0.5,0.5,0,-0.4,0.1,0.3,0.8,0.7,0.7,0.5,0.8,0.9,0.6,0,-0.2,0.7,1.1,0.3,-29.9
New Caledonia,-0.6,0.2,-0.4,-0.6,-0.9,-0.8,-1.1,-0.3,-0.7,-0.2,-0.4,-0.6,-0.5,0.1,0.4,0.1,0,-0.1,-0.4,-0.1,0.1,-0.2,-0.1,-0.1,0,0,-0.1,-0.3,0.1,0.2,-0.2,-0.6,-0.3,-0.6,-1.1,-1.1,-0.5,-0.7,-1,-0.3,-0.2,-0.3,-0.4,0.6,-0.3,-0.5,-0.3,-0.2,-0.3,-0.8,-0.5,-0.9,-1.1,-0.9,-1,-1.2,-0.8,-0.4,-0.6,-0.5,-0.3,-0.7,-0.8,-0.9,-0.9,-0.5,-0.1,-0.3,-0.7,-0.6,-0.6,-0.7,-0.7,-0.7,-0.2,-0.9,-0.6,-0.5,-0.7,-0.7,-1.1,-0.7,-0.8,-0.4,-1,-0.5,-0.7,-0.7,-0.2,-0.7,-0.8,-0.6,-0.3,0,-0.1,-0.2,-0.5,-0.6,-0.4,-0.4,-0.2,-0.5,-0.2,-0.2,-0.5,-0.2,0.1,-0.4,-0.1,-0.4,-0.3,-0.5,-0.2,-0.5,-0.2,-0.8,-0.7,-0.3,-0.3,-0.5,0.1,0.1,-0.3,0.4,0.2,0.3,0,-0.5,-0.4,-0.2,-0.2,-0.1,-0.5,-0.1,0,-0.1,-0.1,-0.2,0.5,0.1,0.2,-0.5,-0.4,-0.5,-0.7,0,0.1,-0.1,0.9,0.2,-0.1,0.3,0.2,0.1,0.1,0.2,-0.1,0.1,0.4,0.1,0.4,0.4,0,0.2,0.1,0,0.7,0.5,0.3,0.2,0.4,0.4,1.1,0.3,0.6,0.7,-48.2
